Time per request:       105.266 [ms] (mean, across all concurrent requests)
Time per request:       104.966 [ms] (mean, across all concurrent requests)
Time per request:       105.115 [ms] (mean, across all concurrent requests)
Time per request:       104.996 [ms] (mean, across all concurrent requests)
Time per request:       105.050 [ms] (mean, across all concurrent requests)
Time per request:       105.039 [ms] (mean, across all concurrent requests)
Time per request:       104.831 [ms] (mean, across all concurrent requests)
Time per request:       104.580 [ms] (mean, across all concurrent requests)
Time per request:       104.503 [ms] (mean, across all concurrent requests)
Time per request:       104.501 [ms] (mean, across all concurrent requests)
Time per request:       104.512 [ms] (mean, across all concurrent requests)
Time per request:       104.682 [ms] (mean, across all concurrent requests)
Time per request:       104.513 [ms] (mean, across all concurrent requests)
Time per request:       104.436 [ms] (mean, across all concurrent requests)
Time per request:       104.560 [ms] (mean, across all concurrent requests)
Time per request:       104.496 [ms] (mean, across all concurrent requests)
Time per request:       104.526 [ms] (mean, across all concurrent requests)
Time per request:       104.453 [ms] (mean, across all concurrent requests)
Time per request:       104.583 [ms] (mean, across all concurrent requests)
Time per request:       104.587 [ms] (mean, across all concurrent requests)
Time per request:       104.566 [ms] (mean, across all concurrent requests)
Time per request:       104.654 [ms] (mean, across all concurrent requests)
Time per request:       104.839 [ms] (mean, across all concurrent requests)
Time per request:       104.764 [ms] (mean, across all concurrent requests)
Time per request:       104.754 [ms] (mean, across all concurrent requests)
Time per request:       104.600 [ms] (mean, across all concurrent requests)
Time per request:       104.746 [ms] (mean, across all concurrent requests)
Time per request:       104.497 [ms] (mean, across all concurrent requests)
Time per request:       104.568 [ms] (mean, across all concurrent requests)
Time per request:       104.576 [ms] (mean, across all concurrent requests)
Time per request:       104.525 [ms] (mean, across all concurrent requests)
Time per request:       104.694 [ms] (mean, across all concurrent requests)
Time per request:       104.516 [ms] (mean, across all concurrent requests)
Time per request:       104.522 [ms] (mean, across all concurrent requests)
Time per request:       104.639 [ms] (mean, across all concurrent requests)
Time per request:       104.570 [ms] (mean, across all concurrent requests)
