Time per request:       112.652 [ms] (mean, across all concurrent requests)
Time per request:       112.992 [ms] (mean, across all concurrent requests)
Time per request:       112.984 [ms] (mean, across all concurrent requests)
Time per request:       112.651 [ms] (mean, across all concurrent requests)
Time per request:       112.673 [ms] (mean, across all concurrent requests)
Time per request:       112.728 [ms] (mean, across all concurrent requests)
Time per request:       112.656 [ms] (mean, across all concurrent requests)
Time per request:       113.008 [ms] (mean, across all concurrent requests)
Time per request:       112.647 [ms] (mean, across all concurrent requests)
Time per request:       112.705 [ms] (mean, across all concurrent requests)
Time per request:       112.694 [ms] (mean, across all concurrent requests)
Time per request:       112.611 [ms] (mean, across all concurrent requests)
Time per request:       112.706 [ms] (mean, across all concurrent requests)
Time per request:       112.728 [ms] (mean, across all concurrent requests)
Time per request:       112.718 [ms] (mean, across all concurrent requests)
Time per request:       112.709 [ms] (mean, across all concurrent requests)
Time per request:       112.641 [ms] (mean, across all concurrent requests)
Time per request:       112.706 [ms] (mean, across all concurrent requests)
Time per request:       112.714 [ms] (mean, across all concurrent requests)
Time per request:       112.918 [ms] (mean, across all concurrent requests)
Time per request:       112.678 [ms] (mean, across all concurrent requests)
Time per request:       112.751 [ms] (mean, across all concurrent requests)
Time per request:       112.657 [ms] (mean, across all concurrent requests)
Time per request:       112.637 [ms] (mean, across all concurrent requests)
Time per request:       112.627 [ms] (mean, across all concurrent requests)
Time per request:       112.668 [ms] (mean, across all concurrent requests)
Time per request:       112.762 [ms] (mean, across all concurrent requests)
Time per request:       112.636 [ms] (mean, across all concurrent requests)
Time per request:       112.661 [ms] (mean, across all concurrent requests)
Time per request:       112.565 [ms] (mean, across all concurrent requests)
Time per request:       107.637 [ms] (mean, across all concurrent requests)
Time per request:       107.519 [ms] (mean, across all concurrent requests)
Time per request:       107.546 [ms] (mean, across all concurrent requests)
Time per request:       107.620 [ms] (mean, across all concurrent requests)
Time per request:       107.670 [ms] (mean, across all concurrent requests)
Time per request:       107.671 [ms] (mean, across all concurrent requests)
Time per request:       107.667 [ms] (mean, across all concurrent requests)
Time per request:       107.552 [ms] (mean, across all concurrent requests)
Time per request:       107.650 [ms] (mean, across all concurrent requests)
Time per request:       107.579 [ms] (mean, across all concurrent requests)
Time per request:       107.517 [ms] (mean, across all concurrent requests)
Time per request:       107.534 [ms] (mean, across all concurrent requests)
Time per request:       107.843 [ms] (mean, across all concurrent requests)
Time per request:       107.657 [ms] (mean, across all concurrent requests)
Time per request:       107.679 [ms] (mean, across all concurrent requests)
Time per request:       107.676 [ms] (mean, across all concurrent requests)
Time per request:       107.660 [ms] (mean, across all concurrent requests)
Time per request:       107.660 [ms] (mean, across all concurrent requests)
Time per request:       107.694 [ms] (mean, across all concurrent requests)
Time per request:       107.510 [ms] (mean, across all concurrent requests)
Time per request:       107.677 [ms] (mean, across all concurrent requests)
Time per request:       107.496 [ms] (mean, across all concurrent requests)
Time per request:       107.680 [ms] (mean, across all concurrent requests)
Time per request:       107.667 [ms] (mean, across all concurrent requests)
Time per request:       107.556 [ms] (mean, across all concurrent requests)
Time per request:       107.546 [ms] (mean, across all concurrent requests)
Time per request:       107.546 [ms] (mean, across all concurrent requests)
