0.46,0.77,0.38,45.12,45.58,45.58,767.15,1959.0,784.08
0.25,1.0,0.92,44.88,45.27,45.27,54.25,2153.42,1645.58
0.31,0.69,0.69,45.12,45.58,45.58,113.62,1975.92,1410.54
0.33,1.08,0.67,44.82,45.27,45.27,0.08,2135.08,1645.58
0.15,0.92,0.77,45.12,45.58,45.58,0.08,1986.08,1513.92
0.46,0.85,0.54,45.12,45.58,45.58,691.46,1975.92,832.69
0.25,1.17,0.58,44.82,45.34,45.27,0.08,2138.25,1663.92
0.08,0.85,0.69,45.12,45.58,45.58,0.08,1972.54,1513.92
0.23,0.77,0.62,45.12,45.58,45.58,0.08,1975.92,1415.62
0.25,1.0,0.58,44.82,45.27,45.27,0.08,1730.58,1645.58
0.54,0.46,0.46,45.12,45.65,45.58,784.23,1207.31,1181.31
0.31,0.85,0.62,45.12,45.68,45.68,75.77,1969.15,1503.46
0.25,0.67,0.58,44.82,45.37,45.37,0.08,1736.08,1645.58
0.85,0.85,0.46,45.12,45.68,45.68,757.0,1592.38,757.0
0.15,1.08,0.69,45.12,45.6,45.68,113.62,1981.0,1410.54
0.42,0.92,0.58,44.82,45.27,45.27,915.83,1815.33,904.83
0.08,0.92,0.69,45.12,45.58,45.58,0.08,1987.77,1524.08
0.38,1.08,0.69,45.12,45.58,45.58,0.08,1986.08,1519.0
0.5,1.0,0.67,44.82,45.27,45.27,825.58,1714.08,951.08
0.47,0.85,0.77,45.12,45.58,45.58,50.08,1965.77,1513.92
0.23,1.08,0.77,45.12,45.58,45.58,0.08,1981.0,1352.23
0.17,0.92,0.75,44.82,45.27,45.27,0.08,2140.58,1645.58
0.38,1.08,0.38,45.12,45.58,45.58,529.92,2209.77,757.0
0.54,0.85,0.62,45.12,45.58,45.58,757.0,1975.92,757.0
0.17,0.84,0.75,44.82,45.33,45.27,0.08,2121.75,1640.08
0.08,1.15,0.69,45.12,45.58,45.58,0.08,1965.77,1519.0
0.38,1.0,0.62,45.12,45.58,45.58,302.85,1947.62,1486.23
0.5,0.67,0.75,44.82,45.27,45.27,820.08,1725.08,1235.58
0.31,0.92,0.69,45.12,45.58,45.58,0.08,1842.08,1254.08
0.23,1.08,0.92,45.12,45.58,45.67,0.08,1981.0,1569.0
