Time per request:       114.799 [ms] (mean, across all concurrent requests)
Time per request:       114.381 [ms] (mean, across all concurrent requests)
Time per request:       114.594 [ms] (mean, across all concurrent requests)
Time per request:       114.630 [ms] (mean, across all concurrent requests)
Time per request:       114.385 [ms] (mean, across all concurrent requests)
Time per request:       114.490 [ms] (mean, across all concurrent requests)
Time per request:       114.609 [ms] (mean, across all concurrent requests)
Time per request:       115.423 [ms] (mean, across all concurrent requests)
Time per request:       114.380 [ms] (mean, across all concurrent requests)
Time per request:       114.528 [ms] (mean, across all concurrent requests)
Time per request:       114.379 [ms] (mean, across all concurrent requests)
Time per request:       114.853 [ms] (mean, across all concurrent requests)
Time per request:       114.567 [ms] (mean, across all concurrent requests)
Time per request:       113.073 [ms] (mean, across all concurrent requests)
Time per request:       114.502 [ms] (mean, across all concurrent requests)
Time per request:       114.526 [ms] (mean, across all concurrent requests)
Time per request:       114.431 [ms] (mean, across all concurrent requests)
Time per request:       114.586 [ms] (mean, across all concurrent requests)
Time per request:       114.813 [ms] (mean, across all concurrent requests)
Time per request:       114.495 [ms] (mean, across all concurrent requests)
Time per request:       115.250 [ms] (mean, across all concurrent requests)
Time per request:       114.486 [ms] (mean, across all concurrent requests)
Time per request:       114.737 [ms] (mean, across all concurrent requests)
Time per request:       114.532 [ms] (mean, across all concurrent requests)
Time per request:       114.634 [ms] (mean, across all concurrent requests)
Time per request:       114.549 [ms] (mean, across all concurrent requests)
Time per request:       114.447 [ms] (mean, across all concurrent requests)
Time per request:       114.464 [ms] (mean, across all concurrent requests)
Time per request:       114.602 [ms] (mean, across all concurrent requests)
Time per request:       114.640 [ms] (mean, across all concurrent requests)
Time per request:       108.499 [ms] (mean, across all concurrent requests)
Time per request:       108.498 [ms] (mean, across all concurrent requests)
Time per request:       108.463 [ms] (mean, across all concurrent requests)
Time per request:       108.377 [ms] (mean, across all concurrent requests)
Time per request:       108.379 [ms] (mean, across all concurrent requests)
Time per request:       108.514 [ms] (mean, across all concurrent requests)
Time per request:       108.495 [ms] (mean, across all concurrent requests)
