83.75,95.7,6.95,44.33,50.55,48.06,125199845.52,125257769.61,1113.96
88.39,100.0,4.69,46.4,52.8,50.2,130918509.18,130971528.36,450.27
90.04,100.0,5.39,46.4,52.8,50.2,130906989.91,130951848.0,417.36
89.78,100.0,6.2,46.4,52.8,50.2,130925104.77,130971534.41,912.23
87.87,100.0,4.42,46.48,52.84,50.2,130943312.0,130985697.27,257.23
89.04,100.0,7.33,46.5,52.9,50.2,130942276.27,131002694.09,845.45
88.4,100.0,5.3,46.52,52.9,50.21,130968296.82,131027733.73,712.73
87.55,100.0,6.76,46.6,52.9,50.23,130972047.24,130949234.86,744.57
87.33,100.0,5.55,46.6,52.9,50.2,130913595.24,130942213.81,709.14
88.1,100.0,5.81,46.6,52.9,50.2,130937780.09,130951185.27,781.73
86.86,100.0,0.5,46.6,52.9,50.2,130899728.45,130900918.73,1043.73
86.79,100.0,0.45,46.62,52.99,50.2,130998506.09,130952805.36,226.64
87.45,100.0,0.45,46.7,53.1,50.2,130929648.27,130911399.18,1024.09
87.33,100.0,0.71,46.7,53.1,50.2,130995134.48,130980846.86,1222.67
85.93,100.0,0.32,46.7,53.1,50.2,130930937.09,130947047.27,900.55
88.27,100.0,0.55,46.7,53.1,50.2,130938086.91,130935096.27,916.91
87.72,100.0,0.5,46.7,53.1,50.2,130950107.82,130884991.55,710.0
87.1,100.0,0.32,46.7,53.1,50.2,130919191.86,130941372.5,618.23
87.94,100.0,0.41,46.7,53.1,50.2,130902863.09,130881136.18,810.82
85.75,100.0,0.27,46.7,53.1,50.2,130940497.55,131077454.82,365.27
86.76,100.0,0.43,46.77,53.1,50.2,130944033.52,130951267.71,852.57
87.19,100.0,0.52,46.7,53.1,50.2,130971290.1,130927677.05,1324.29
86.35,100.0,0.32,46.7,53.1,50.2,130957360.18,130989539.45,450.27
87.12,100.0,0.32,46.7,53.1,50.2,130935045.73,130938146.36,405.55
86.19,100.0,0.41,46.7,53.1,50.2,130918862.82,131004915.27,925.64
85.62,100.0,0.52,46.7,53.1,50.2,130929709.14,131043540.95,1102.86
87.06,100.0,0.55,46.73,53.1,50.2,130927244.09,130967363.55,1121.18
87.16,100.0,0.23,46.79,53.1,50.2,130939716.55,130984578.45,800.73
86.05,100.0,0.31,46.8,53.1,50.2,130958763.82,130974946.91,392.55
87.74,100.0,0.45,46.8,53.1,50.2,130959864.91,130994584.18,670.91
91.42,100.0,0.58,46.8,53.18,50.2,130945047.83,130248885.17,1253.83
89.3,100.0,0.58,46.8,53.17,50.2,130856984.83,131047261.83,1325.0
90.76,100.0,0.64,46.8,53.15,50.2,130926111.64,130882182.73,1426.55
91.26,100.0,0.83,46.8,53.15,50.2,130906340.67,131041681.67,1135.17
90.58,100.0,0.33,46.8,53.17,50.2,130875362.83,131124525.17,1353.0
89.38,100.0,0.55,46.8,53.11,50.2,130960149.82,130906793.27,1352.73
88.58,100.0,0.55,46.8,53.13,50.2,130944912.36,130903071.27,1828.91
90.74,100.0,0.33,46.8,53.12,50.2,130924099.67,130947614.5,661.5
89.8,100.0,0.34,46.8,53.16,50.2,130926696.67,130847800.17,738.0
90.54,100.0,0.25,46.8,53.13,50.2,130951127.5,130930449.83,832.67
89.12,100.0,1.09,46.8,53.18,50.2,130930955.18,130929164.82,2805.55
87.98,100.0,0.58,46.8,53.2,50.2,130935919.58,130893195.83,2127.42
92.22,100.0,0.5,46.8,53.2,50.2,130920303.5,130846248.5,738.0
91.03,100.0,0.33,46.8,53.2,50.2,131043773.67,130863233.83,457.17
89.99,100.0,0.27,46.8,53.2,50.2,131020866.73,130832948.36,959.64
91.47,100.0,0.42,46.87,53.2,50.27,131029472.67,130932053.5,1257.0
90.63,100.0,0.25,46.9,53.2,50.2,131000176.83,130817628.83,825.0
88.27,100.0,0.55,46.9,53.2,50.2,130900701.45,130877463.64,900.55
90.73,100.0,0.5,46.9,53.2,50.2,130973784.83,130862007.0,1307.67
90.19,100.0,0.75,46.9,53.2,50.2,131171850.17,130957888.33,1763.5
88.49,100.0,1.08,46.9,53.18,50.2,131033465.67,130948519.17,2476.5
88.25,100.0,0.82,46.9,53.1,50.2,130991438.91,130898232.0,1831.09
90.41,100.0,1.0,46.9,53.1,50.2,131001925.0,130999896.5,2176.0
90.84,100.0,0.42,46.9,53.1,50.2,131080026.17,131015394.17,858.5
85.55,100.0,0.91,46.9,53.1,50.2,130997537.82,131024715.27,2725.64
87.87,100.0,0.17,46.9,53.1,50.2,130976318.33,130944721.0,807.17
88.42,100.0,0.75,46.9,53.1,50.2,130985992.5,130922320.17,2373.67
88.29,100.0,0.5,46.9,53.1,50.2,130898614.5,130970559.67,825.5
87.12,100.0,0.18,46.9,53.1,50.2,131026758.0,131169867.45,967.27
87.83,100.0,0.25,46.9,53.1,50.2,130972809.5,130916773.83,1309.5
